filename,caption,paraphrased,negation
000000485895.jpg,A small giraffe stands in the grass near a road.,A petite giraffe stands in the grass close to a road.,A small giraffe is lying in the grass near a road.
000000284991.jpg,A person drinking something from a red bottle,A person is holding a red bottle and drinking something from it.,A person is spilling something from a red bottle.
000000561366.jpg,There is a phone on top of a calculator,A calculator lies beneath the phone.,There is a phone next to a calculator.
000000213035.jpg,Two men holding smart phones next to each other.,The two men are holding their smartphones next to each other.,Two men holding smart phones facing away from each other.
000000214200.jpg,A stop sign vandalized with an eating animals sticker below the word stop.,The eating animals sticker is positioned below the word stop on the stop sign that has been vandalized.,A stop sign vandalized with an eating animals sticker above the word stop.
000000025393.jpg,a couple of men in ties are outside,outside in ties are a couple of men.,A couple of men in ties are inside.
000000134882.jpg,a cat in a bedroom laying on a striped covered bed.,The cat is lying on a striped covered bed in a bedroom.,A cat in a bedroom sitting on a striped covered bed.
000000185890.jpg,Two women are playing a Wii game at a banquet hall.,Wii game is being played by two women in a banquet hall.,Two women are playing a Wii game behind a banquet hall.
000000222455.jpg,a close up of an oven with food cooking on top,A close up of an oven with food cooking at the top.,A close up of an oven with food cooking inside.
000000421455.jpg,Guy takes a picture  of his dog in the backseat through his side mirror.,The dog is in the backseat and the guy is taking a picture of it through his side mirror.,Guy takes a picture of his dog outside the car through his side mirror.
000000278353.jpg,A sheep with short hair stands under a fence.,A fense is above a sheep with short hair.,A sheep with short hair stands over a fence.
000000446522.jpg,A black and brown dog sits curled in a flowered wing chair.,The flowered wing chair accommodates the curled black and brown dog.,A black and brown dog lies curled in a flowered wing chair.
000000373315.jpg,A teen child is skateboarding on the edge of a cement wall.,The cement wall is positioned next to a teenage child who is skateboarding on its edge.,A teen child is skateboarding next to a cement wall.
000000301867.jpg,Three young women smile brightly together under a large umbrella.,The large umbrella covers three young women who are smiling brightly together.,Three young women smile brightly together beside a large umbrella.
000000397133.jpg,A person is in a kitchen making pizzas.,An individual is making pizzas in a kitchen.,A person is in a kitchen cleaning up after making pizzas.
000000201646.jpg,"a person with glasses sitting on a chair with a wiimote","on a chair with a Wiimote, sits a person with glasses.",A person with glasses standing beside a chair with a wiimote.
000000334719.jpg,A family is playing frisbee on the beach.,frisbee is being played by a family on a beach.,A family are relaxing on the beach.
000000565778.jpg,A train with people inside is about to go into a tunnel.,The train with passengers onboard is approaching a tunnel.,A train with people inside has just emerged from a tunnel.
000000492362.jpg,A young person riding a skateboard with red wheels.,A youth is skateboarding with red skateboard wheels.,A young person pushing a skateboard with red wheels.
000000439854.jpg,A person does a trick on a skate board by a beach.,A person performs a trick on a skateboard near the beach.,A person does a trick near a skate board by a beach.
000000041888.jpg,Three birds walking around a dry grass field.,Three birds are strolling through a field of dry grass.,Three birds flying over a dry grass field.
000000240754.jpg,A small cow in a enclosure with straw on the floor.,A petite cow is in an enclosure with straw covering the floor.,A small cow is running around outside with straw on the floor of its enclosure.
000000162035.jpg,A sign on a sidewalk has a teddy bear on it.,The teddy bear is on a sign located on a sidewalk.,A sign beside a sidewalk has a teddy bear on it.
000000189310.jpg,A lime green room with older style furnishings and curtains.,A room with lime green walls adorned with older-style furnishings and curtains.,A lime green room without older style furnishings and curtains.
000000140640.jpg,Women in fancy hats serving cakes at a candle lit table,"At a candlelit table, women in fancy hats are serving cakes.",Women in fancy hats conversing at a candle lit table.
000000066038.jpg,The father and daughter are under an umbrella on the beach.,The father and daughter are positioned under an umbrella at the beach.,The father and daughter are beside an umbrella on the beach.
000000185250.jpg,A person standing in a grass field with a dog in front of him and frisbee type toys thrown in the air.,A person is standing in a grass field with a dog in front of him and frisbee-type toys thrown in the air.,A person sitting in a grass field with a dog in front of him and frisbee type toys thrown in the air.
000000525155.jpg,The person with the black sweatshirt carries a wooly sheep.,The person carrying the wooly sheep is wearing a black sweatshirt.,The person without the black sweatshirt carries a wooly sheep.
000000284445.jpg,A group of people crossing a street next to a bend traffic light.,A cluster of individuals crossing a street adjacent to a bend traffic light.,A group of people crossing a street far from a bend traffic light.
000000162035.jpg,A person walking down a street past a teddy bear sign.,An individual walking down the street past a sign with a teddy bear.,A person walking down a street approaching a teddy bear sign.
000000067310.jpg,A male skater jumps in the air at a skate park.,"At a skate park, a male skater jumps in the air.",A male skater spins in the air at a skate park.
000000380913.jpg,A group of friends riding a subway while using cell phones.,A gathering of friends are utilizing their cell phones while riding the subway.,A group of friends standing on a subway while using cell phones.
000000420916.jpg,Three people sitting on a bench in front of a lake.,Three individuals sit on a bench positioned in front of a lake.,Three people standing in front of a lake.
000000039956.jpg,A messy bedroom has one red brick wall.,The red brick wall is in a messy bedroom.,A messy bedroom doesn't have any red brick walls.
000000381639.jpg,A little child is standing between several orange cones.,Several orange cones surround the little child.,A little child is standing beside several orange cones.
000000214224.jpg,"A sign with the word ""Pub"" hangs above several liquor bottles.","A sign reading ""Pub"" is suspended above multiple liquor bottles.","A sign with the word ""Pub"" hangs behind several liquor bottles."
000000327601.jpg,"A person in a blue dress with no shoes, seated with their legs crossed on a chair in the middle of a room.","A lady wearing a blue dress, barefoot, is seated with crossed legs on a chair positioned in the center of a room.","A person out of a blue dress with no shoes, seated with their legs crossed on a chair in the middle of a room."
000000017627.jpg,Cars are parked on the street near an old building.,An old building is positioned near where the cars are parked on the street.,Cars are driving on the street near an old building.
000000494869.jpg,A small child is in the kitchen with an adult and dog.,An adult and a dog are in the kitchen with a small child.,A small child is outside the kitchen with an adult and dog.
000000186980.jpg,A wooden table with two chairs next to a sink.,A wooden table is positioned near a sink with two chairs placed beside it.,A wooden table with two chairs far from a sink.
000000173044.jpg,A clock tower stands in front of a large mirrored sky scraper.,"In front of a massive mirrored skyscraper, there is a clock tower standing tall.",A clock tower stands behind a large mirrored sky scraper.
000000361238.jpg,The child with glasses is eating a slice of pizza.,A slice of pizza is being eaten by the child with glasses.,The child without glasses is eating a slice of pizza.
000000481390.jpg,The basketball game is played by teams in white or blue uniforms.,Teams participate in the basketball game wearing either white or blue uniforms.,The basketball game is played by teams out of white or blue uniforms.
000000409475.jpg,Two people standing next to each other on a ski slope.,Two individuals stand adjacent to each other on a ski slope.,Two people standing far from each other on a ski slope.
000000537153.jpg,A couple of people sitting on top of a wooden bench.,Two individuals are seated atop a wooden bench.,A couple of people sitting next to a wooden bench.
000000284623.jpg,A black cat sits in a bathroom sink.,The bathroom sink contains a black cat.,A black cat is lying in a bathroom sink.
000000439715.jpg,A person riding a brown horse in uniform next to tall green trees.,"A person on a brown horse, dressed in uniform, rides next to tall green trees.",A person leading a brown horse in uniform next to tall green trees.
000000368940.jpg,A white sink with a black cabinet underneath it.,A black cabinet is situated beneath a white sink.,A white sink with a black cabinet next to it.
000000358525.jpg,a small child operating a laptop on a bed,"On a bed, a laptop is being operated by a child.",A small child is next to a laptop on a bed.
000000506656.jpg,a guy standing in front of a few horses.,"In front of several horses, stands a guy.",A guy standing behind a few horses.
000000085329.jpg,An image of a very cute child with face piercings.,The image depicts a very cute child with face piercings.,An image of a very cute child without face piercings.
000000039956.jpg,View of a very messy bedroom with boxes and bags covering the floor.,A cluttered bedroom is depicted with boxes and bags strewn across the floor.,View of a very messy bedroom with boxes and bags being rearranged on the floor.
000000551215.jpg,The person is playing a game of tennis on the court.,The person on the court is playing a game of tennis.,"The person is next to the court, watching a game of tennis."
000000544519.jpg,A young child who is brushing their teeth with a toothbrush.,A young child brushes their teeth with a toothbrush.,A young child who is flossing their teeth with dental floss.
000000048153.jpg,A photo of a bright pink shoe on a blue and green background.,A photograph showing a bright pink shoe with a green and blue background.,A photo of a bright pink shoe next to a blue and green background.
000000459153.jpg,A person uses his computer on a park bench.,The person is seated on a park bench while using his computer.,A person uses his computer beside a park bench.
000000476415.jpg,A person stands and shows his tie off.,A tie is being shown off by a standing person.,A person is sitting and shows his tie off.
000000261982.jpg,A person on a skateboard does a flip in a parking lot.,An individual performs a flip on a skateboard in a parking lot.,A person above a skateboard does a flip in a parking lot.
000000555412.jpg,A pizza is shown with various toppings on it.,The various toppings are on top of the pizza.,A pizza is being enjoyed by people with various toppings on it.
000000376442.jpg,This is a stuffed animal on a toilet seat.,The stuffed animal is situated on the toilet seat.,This is a stuffed animal beside a toilet seat.
000000534827.jpg,Motorcyclists are riding down the street with each other.,Motorcyclists are riding together down the street.,Motorcyclists are parked on the street with each other.
000000100624.jpg,a person standing on a sidewalk while using a cell phone,"On a sidewalk, a person is standing while using a cell phone.",A person walking along a sidewalk while using a cell phone.
000000117645.jpg,A person on skis is going down a slope.,An individual on skis is descending a slope.,A person off skis is standing at the bottom of a slope.
000000082180.jpg,Two stuffed teddy bears sitting on a wooden chair in a yard.,The wooden chair is positioned in the yard with two stuffed teddy bears sitting on it.,Two stuffed teddy bears staring at a wooden chair in a yard.
000000446522.jpg,A dog is sitting on an armchair next to a fridge.,"An armchair is placed next to a fridge, and a dog is sitting on it.",A dog is sleeping on an armchair next to a fridge.
000000064462.jpg,Female skier smiling while standing in the snow.,The female skier is standing in the snow while smiling.,Female skier frowning while standing in the snow.
000000370999.jpg,A dime sits in the middle of a group of stones.,The group of stones surrounds the dime.,A dime sits next to a group of stones.
000000570471.jpg,A person hugging another while cutting a cake.,Two people embraces each other while cutting a cake.,A person hugging another while smiling at a cake.
000000383386.jpg,Three teddy bears that are sitting next to each other.,Three teddy bears that sit alongside each other.,Three teddy bears that are lying down next to each other.
000000005060.jpg,a person sitting in a room taking a selfie in a mirror,A person is sitting in a room and taking a selfie in a mirror.,A person standing in a room taking a selfie in a mirror.
000000164602.jpg,Two persons standing in front of a mirror.,Couple of individuals are standing in front of a mirror.,Two persons sitting in front of a mirror.
000000067180.jpg,A person is sitting on an old wooden bench.,The old wooden bench is positioned beneath the woman.,A person is standing next to an old wooden bench.
000000229858.jpg,A baby deer and a large deer are standing in the woods.,The large deer and the baby deer are positioned within the woods.,A baby deer and a large deer are running around in the woods.
000000475678.jpg,Several suit cases lined in rows with luggage tags on them.,Several suitcases with luggage tags on them aligned in a row.,Several suit cases stacked on top of each other with luggage tags on them.
000000361919.jpg,Many skiers are walking and skiing around the snow.,Many skiers are skiing and walking around the snow.,Many skiers are riding and skiing around the snow.
000000320664.jpg,A hot dog is on a plate with macaroni and cheese.,A plate with macaroni and cheese has a hot dog.,A hot dog is next to a plate with macaroni and cheese.
000000349184.jpg,A person sitting on a wooden bench viewing some beautiful trees.,A person sits on a wooden bench admiring the view of beautiful trees.,A person standing beside a wooden bench viewing some beautiful trees.
000000183716.jpg,A couple of little kids sitting next to each other.,Two young kids are seated next to one another.,A couple of little kids playing next to each other.
000000066038.jpg,A group of people sit underneath umbrellas on the beach.,A cluster of individuals are positioned on the beach beneath the umbrellas.,A group of people sit beside umbrellas on the beach.
000000535306.jpg,A child stands at the top of a jump with his skateboard.,The skateboard is positioned at the top of the jump with the child standing on it.,A child is sitting at the top of a jump with his skateboard.
000000497599.jpg,A young person stands over a lap top computer screen.,A young person is positioned above a lap top computer screen.,A young person sits next to a laptop computer screen.
000000232684.jpg,A person sitting next to a laptop in a dark room.,A person is seated adjacent to a laptop in a dimly lit room.,A person standing next to a laptop in a dark room.
000000010977.jpg,A bathroom with blue walls and pink tile.,The blue-walled bathroom features pink tile.,A bathroom without blue walls and pink tile.
000000459467.jpg,A grey and black plane on a runway with trees in the background.,"On the runway, a grey and black plane is placed near the background of trees.",A grey and black plane on a runway without trees in the background.
000000453584.jpg,A red bench on a slanted floor has the Coca-Cola symbol on it.,The Coca-Cola symbol is on a red bench that is positioned on a slanted floor.,A red bench beside a slanted floor has the Coca-Cola symbol on it.
000000002261.jpg,A person in a black shirt plays on an ocean wave.,A person wearing a black shirt rides on an ocean wave.,A person in a black shirt stands beside an ocean wave.
000000181303.jpg,A little child standing on a field with a kite over his head.,A little child is standing on a field with a kite positioned above his head.,A little child running on a field with a kite over his head.
000000525322.jpg,Two jets are flying against a bright blue sky.,A couple of jets soar through a vivid blue sky.,Two jets are swooping past each other in a bright blue sky.
000000301061.jpg,An elephant is being fed while in a truck.,An elephant is being given food while inside a truck,An elephant is being fed next to a truck.
000000414034.jpg,A child wearing a baseball cap with a remote control and a sippy cup.,A child donning a baseball cap holds a remote control and a sippy cup.,A child hiding under a baseball cap with a remote control and a sippy cup.
000000490125.jpg,White birds are gathered around a water puddle.,A group of white birds has congregated around a puddle of water.,White birds are flying over a water puddle.
000000183648.jpg,A person pats an elephant as a couple men watch.,A person is patting an elephant while a couple of men are observing.,A person feeds an elephant as a couple men watch.
000000552371.jpg,"Two horses stand outside in their corral, with mountains in the background.","Two horses are standing outdoors in their corral, with mountains visible in the background.","Two horses lay down outside in their corral, with mountains in the background."
000000448076.jpg,A small group of people standing in a red and white room,A few individuals are standing in a room decorated with red and white colors.,A small group of people standing outside of a red and white room.
000000341719.jpg,Several people can be seen at the crest of the mountain.,many individuals are visible at the summit of the mountain.,Several people can be seen at the base of the mountain.
000000281447.jpg,A horse standing in the dirt near a fence.,A horse is standing in the dirt close to a fence.,A horse lying down in the dirt near a fence.
000000080666.jpg,A cat sitting on a bench in front of a building.,"A bench is in front of a building, and a cat is sitting on it.",A cat lying on a bench in front of a building.
000000163562.jpg,A person standing on a hillside next to a lake holding frisbee.,A person holding frisbee is standing on a hillside next to a lake.,A person sitting on a hillside next to a lake holding a frisbee.
000000329219.jpg,A person in the kitchen standing with his dog.,A person is standing in the kitchen with his dog.,A person out of the kitchen standing with his dog.
000000166287.jpg,Cows are grazing in a wet pasture with birds.,"In a wet pasture with birds, The cows are being grazed.",Cows are lounging in a wet pasture with birds.
000000003934.jpg,A young child holding a controller playing a video game.,A video game is being played by a girl who is holding a video game controller.,A young child putting down a controller after playing a video game.
000000361103.jpg,A couple of traffic lights sitting on the side of a road.,A couple of traffic lights are situated alongside the road.,A couple of traffic lights hanging above a road.
000000319721.jpg,A person stands beside a large brown horse.,A large brown horse is positioned beside a person.,A person is riding a large brown horse.
000000509131.jpg,A bunch of mini bananas are hanging above a bowl of apples and oranges.,A cluster of mini bananas is suspended above a bowl containing apples and oranges.,A bunch of mini bananas are sitting in a bowl of apples and oranges.
000000473237.jpg,A child takes a bite of their pepperoni pizza.,A pepperoni pizza is being eaten by a child.,A child shares a bite of their pepperoni pizza.
000000180135.jpg,A person holding a microphone in one hand while holding a skateboard in the other.,The person holds a skateboard in one hand while he holds a microphone in the other.,A person holding a microphone in one hand while holding a skateboard on their back.
000000177015.jpg,A person sitting in a chair with a cat and a laptop.,A person sits in a chair next to a laptop and a cat.,A person lying down in a chair with a cat and a laptop.
000000291490.jpg,A kitten on a bed with its arm stretched out toward the camera,"On a bed, the kittenextends its arm toward the camera.",A kitten above a bed with its arm stretched out toward the camera.
000000300659.jpg,A sky view of several planes flying in formation in the sky.,Aerial view of multiple aircraft flying in formation in the sky.,A sky view of several planes flying in an unorganized fashion in the sky.
000000127955.jpg,there are two brown bears that are playing together in the water,The two brown bears are playing together in the water.,There are two brown bears that are playing together beside the water.
000000306700.jpg,A person getting ready to eat a pizza on the table.,An individual is sitting at the table and is ready to eat a pizza.,A person getting ready to eat a pizza next to the table.
000000321333.jpg,A couple of children sitting in front of a blanket.,Two children are positioned in front of a blanket.,A couple of children lying in front of a blanket.
000000295713.jpg,"A person sitting on a bench near a statue, checking their phone.","An individual sits on a bench close to a statue, looking at their phone.","A person standing on a bench near a statue, checking their phone."
000000551439.jpg,A person holding a book about the topic fun.,A person is holding a book about the topic of fun.,A person reading a book about the topic fun.
000000292082.jpg,A smiling person and a very cute small child sitting together.,A small child and a smiling person are sitting together.,A smiling person and a very cute small child are standing next to each other.
000000058636.jpg,The street signs for Gladys and Detroit streets are attached to a wooden pole.,A wooden pole displays the street signs for Gladys and Detroit streets.,The street signs for Gladys and Detroit streets are leaning against a wooden pole.
000000372819.jpg,A group of dogs that are standing in the grass.,A pack of dogs that are standing in the grass.,A group of dogs that are lying in the grass.
000000065736.jpg,"A tennis player in a black army shirt and tennis skirt, swinging a tennis racket.",The tennis player wearing a tennis skirt and a black army shirt swings a tennis racket.,"A tennis player in a black army shirt and tennis skirt, holding a tennis racket."
000000246968.jpg,A person standing in a kitchen preparing food.,An individual is cooking food in the kitchen while standing.,A person sitting in a kitchen preparing food.
000000036936.jpg,Two people sitting on a couch playing a video game.,A couple of individuals are seated on a couch playing a video game.,A people lying on a couch playing a video game.
000000011813.jpg,A camera sits on a tripod connected to a laptop.,The laptop is connected to the tripod which houses the camera.,A camera hangs from a tripod connected to a laptop.
000000058636.jpg,A large wooden pole with a green street sign hanging from it.,A green street sign that is suspended from a large wooden pole.,A large wooden pole with a green street sign leaning against it.
000000153529.jpg,A person stands beside their luggage at an airport.,An individual stands alongside their luggage at the airport.,A person is sitting beside their luggage at an airport.
000000441586.jpg,A person standing on a vehicle with two large wheels.,An individual stands on a vehicle equipped with two huge wheels.,A person standing next to a vehicle with two large wheels.
000000218439.jpg,A kid on a bed with dozens of photos on the wall behind him.,Dozens of photos on the wall behind the kid on the bed.,A kid beside a bed with dozens of photos on the wall behind him.
000000236784.jpg,Two dogs are lying on the brown couch.,The brown couch contains two dogs lying down.,Two dogs are jumping over the brown couch.
000000215245.jpg,A large group of zebras graze in the grasslands of africa,A vast herd of zebras feeds on the African grasslands.,A large group of zebras gallop through the grasslands of Africa.
000000035963.jpg,A statue with two stuffed animals on top of it sitting in a patch of dirt.,Two stuffed animals on top of the statue situated in a patch of dirt.,A statue with two stuffed animals next to it sitting in a patch of dirt.
000000425702.jpg,A person holding a surfboard walking on a beach next to the ocean.,An individual with a surfboard is strolling along a ocean beach.,A person holding a surfboard sitting on a beach next to the ocean.
000000191013.jpg,A picture of a very large clock on the side of a building.,An image of an enormous clock displayed on the side of a building.,A picture of a very large clock on top of a building.
000000565778.jpg,A blue commuter train traveling towards a train tunnel.,A commuter train painted blue is moving towards a tunnel.,A blue commuter train coming out of a train tunnel.
000000338428.jpg,A truck painted green with designs parked by other vehicles.,Other vehicles parked next to the green truck with designs.,A truck painted green with designs is moving towards other vehicles.
000000292236.jpg,The backsides of people as they wait for a train coming in to the station.,People's backs as they await the arrival of a train at the station.,The backsides of people as they wait for a train leaving the station.
000000121506.jpg,An umbrella on a backyard patio is upturned from the wind.,The wind has turned an umbrella upside down on a backyard patio.,An umbrella next to a backyard patio is upturned from the wind.
000000243204.jpg,A person that is cooking some food in a kitchen.,A person in a kitchen that is preparing some food.,A person that is washing some dishes in a kitchen.
000000046252.jpg,A baseball player in a red shirt is ready to hit the ball.,A baseball player wearing a red shirt is poised to strike the ball.,A baseball player outside in a red shirt is ready to hit the ball.
000000259571.jpg,An orange truck driving down a street full of men in the back.,A truck with an orange color is moving down a street with men in the back.,An orange truck driving down a street empty of men in the back.
000000093353.jpg,A piece of bread with a hot dog in the middle is shown.,A hot dog is placed in the middle of the piece of bread.,A piece of bread without a hot dog in the middle is shown.
000000388056.jpg,A batter getting ready to bat with the catcher and umpire behind him.,A batter is preparing to bat with the catcher and umpire positioned behind him.,A batter getting ready to bat with the catcher and umpire in front of him.
000000147729.jpg,A person in a crowd taking pictures with a cell phone.,An individual in the crowd is using a cell phone to take pictures.,A person in a crowd listening to music on a cell phone.
000000403817.jpg,A cat sitting beside a laptop on a desk.,The laptop is positioned on the desk beside the cat.,A cat sleeping beside a laptop on a desk.
000000322724.jpg,a person that is skiing down a snowy field,A person is skiing down a snowy field.,A person is walking down a snowy field.
000000363666.jpg,Young men having a meal at a table.,A table is occupied by young men who are having a meal.,Young men standing next to a table.
000000002261.jpg,A person on a blue raft attempting to catch a ride on a large wave.,"On a blue raft, a person is attempting to catch a ride on a large wave.",A person next to a blue raft is attempting to catch a ride on a large wave.
000000065736.jpg,A person in black shirt and skirt playing a game of tennis.,An individual wearing a black shirt and skirt plays a game of tennis.,A person in black shirt and skirt is watching a game of tennis.
000000226130.jpg,"A sausage on italian roll sandwich, cut in half, is on a white plate, with a garnish.","A sandwich consisting of a sausage on an Italian roll, sliced in half, is placed on a white plate with a garnish.","A sausage on italian roll sandwich, cut in half, is beside a white plate, with a garnish."
000000312421.jpg,Several middle eastern looking stickers decorate a black briefcase.,Several stickers with a Middle Eastern appearance adorn a black briefcase.,Several middle eastern looking stickers were removed from a black briefcase.
000000515579.jpg,A person walking while holding a ball in his hand.,A ball is being held by a person who is walking.,A person running while holding a ball in his hand.
000000547816.jpg,A view of a bathroom with the shower curtain open.,A bathroom with an open shower curtain is shown.,A view of a bathroom without the shower curtain open.
000000429281.jpg,Display for bananas with a euro money sign,A display for bananas featuring a euro money sign.,Display for bananas without a euro money sign.
000000558114.jpg,A group of basketball players walking on the court,"On a court, walks a group of basketball players.",A group of basketball players playing on the court.
000000267434.jpg,Several cows grazing in the field with a house in the background.,A house is situated in the background of several cows grazing in the field.,Several cows sleeping in the field with a house in the background.
000000545129.jpg,Those zebras may have lost their parents and they could be nearby.,The zebras may have lost their parents who could be nearby.,Those zebras may have lost their parents and they could be far away from us.
000000492362.jpg,A skateboarder riding his board down the sidewalk.,"Down the sidewalk, a skateboarder is riding his board.",A skateboarder carrying his board down the sidewalk.
000000284623.jpg,Black cat with green eyes sitting in a bathroom sink.,Green-eyed black cat sitting in a bathroom sink.,A black cat with green eyes sleeping in a bathroom sink.
000000370677.jpg,Some kids in colorful shirts standing by some pastries.,"Near some pastries, some kids in colorful shirts are standing.",Some kids in colorful shirts walking past some pastries.
000000363207.jpg,A newly married couple sharing a piece of there wedding cake.,A piece of their wedding cake is beign shared by a newly married couple.,A newly married couple cutting a piece of their wedding cake.
000000221291.jpg,Young child posing in front of a flying kite in the park,A young child is depicted standing before a flying kite in a park.,A young child is running with a flying kite in the park.
000000163640.jpg,A person holding a piece of food by a string.,A person is using a piece of string to hold to piece of food.,A person is dropping a piece of food from a string.
000000279541.jpg,a bunch of pizzas are on display under a case,Under a case a bunch of pizzas are displayed.,A bunch of pizzas are on display on top of a case.
000000033114.jpg,The back view of an airplane on a runway.,The airplane is positioned on the runway with it's back view visible.,An airplane is flying over a runway.
000000042276.jpg,A bathroom with ski equipment laid out on the floor.,Ski equipment is laid out on the floor in the bathroom.,A bathroom without ski equipment laid out on the floor.
000000130599.jpg,A person is pretending to hit a statue of a giraffe.,"A statue of a giraffe, which a person is pretending to hit.",A person is adoring from afar a statue of a giraffe.
000000219283.jpg,A teddy bear sitting on the ground in front of many boxes.,Several boxes are situated behind the teddy bear sitting on the ground.,A teddy bear sitting on the ground next to many boxes.
000000456394.jpg,A show floor with a shiny blue motorcycle surrounded by bars.,shiny blue motorcycle surrounded by bars is on a show floor.,A show floor with a shiny blue motorcycle next to bars.
000000066038.jpg,A person and a child under an umbrella at the beach.,An umbrella is above a child and a person in a beach.,A person and a child next to an umbrella at the beach.
000000338428.jpg,Truck viewed from the back with vans and trucks visible in the background of the image.,The image features a rear view of truck with vans and other trucks visible in the background.,Truck viewed from the back with vans and trucks hidden behind in the background of the image.
000000253835.jpg,A person and baby at a train platform.,"In a train platform, there is a person and a baby.",A person and baby leaving from a train platform.
000000106235.jpg,A very cozy looking living room with an oval table.,"The living room is adorned with an oval table, exuding a warm and inviting ambiance.",A very cozy looking living room without an oval table.
000000185250.jpg,a person watches as a dog looks at a toy in the air,A person observes while a dog gazes at a toy in mid-air,A person watches as a dog catches a toy in the air.
